Id,Comment
4970,"Change references to RabbitMQ to include Qpid.\n\nUpdate the documentation that referred to RabbitMQ to clarify that Qpid\ncan be used as well.\n\nChange-Id: I3abe32c2074bfdd3b5129ea65e9ca36cc9555c27\n"
4971,"Rename files/dirs from \u0027rabbit\u0027 to \u0027rpc\u0027.\n\nNow that the rpc API includes more than RabbitMQ update a filename and\ndirectory name to be \u0027rpc\u0027 instead of \u0027rabbit\u0027.\n\nChange-Id: Ib7fcccdd77fae128b6de3ee490fee3d6325ca7c5\n"
3640,"Region is empty breaks novaclient\n\nFixes error when region is blank in endpoint causing\nan \u0027unable to authorize\u0027 error.\n\n- related to bug 924052\n\nChange-Id: I02cc1b829a44df2f67f7036709140b12eb29fb8f\n"
3638,"Keystone config permission should be 0640 not 0644\n\nThe docs incorrectly specified that the keystone config permission should be\n0644 but that would provide all users on the system access to the mysql\npassword.\n\nThis fixes the typo and explicitly adds the chmod and chown.\n\nChange-Id: Ia81effd54e1bb4b66b9fd84e4c753fff950ce0bc\n"
2306,"Updates OVS rules applied to IPv4 VIFs\n\nChange-Id: I90cf18a6f60a792c184097f5eeea4282b58f85c5\n"
4969,"Backports OS Auth API v2.0 support in swift.common.client\n\nCommit 310675f7739a6a03446e8e8c4c5bccde9331b315 introduced support for OpenStack Auth API v2.0 support but it only did in the bin/swift the CLI tool.\n\nThis backports the missing piece so it works in the Python client module too.\n\nChange-Id: I502ec9dec56347c35e986cae27c89578b7c9abfe\nSigned-off-by: Julien Danjou \u003cjulien.danjou@enovance.com\u003e\n"
3639,"Improve dom0 and template VM avoidance.\n\nFixes bug 920588\n\nChange-Id: Ia19f6e99faceba75af509699a5601f87218671ed\n"
2305,"avoid error and trace on dom.vcpus() in lxc\n\nThis fixes bug 903943.  If you used lxc you\u0027d eventually\nsee stack traces in nova-compute due to use of dom.vcpus().\n\nChange-Id: I8ff4e973d33eef3df116feb237b2febc8e6a59b5\n"
2304,"Follow-on to I665f402f to convert rxtx_quota to rxtx_factor in\nnova-manage and a couple of tests.\n\nChange-Id: I1c72dbef6173e4c08006e36fa90565a724528b7c\n"
2303,"Expose Asynchronous Fault entity in the OSAPI\n\nShow latest instance fault in server update show and detailed list\n\nChange-Id: I9719d696aa3aac6e9cbca4c9a102bcd5a33bf0b1\n"
2302,"Improved VlanMap.\n\nSimplified logic and less time spent creating  vlans.\n\nChange-Id: I90fda09faa1869b38993aa0aeed64d813d29afa9\n"
2301,"Update glance caching middleware so doesn\u0027t try to process calls to\nsubresources. Fixes LP bug #889209.\n\nChange-Id: Id56a535418c70bdc91a81baabc53d0c9db758a29\n"
2300,"Make sure the rxtx_cap is used to set qos info\n\nChange-Id: Id06d12a24756ce865e3b7e1b79185dddbdb71582\n"
4961,"HACKING fixes TODO authors.\n\nLooks like this fixes all HACKING problems that were around.\nThanks to Dina Belova and Alexander Kovalev for this work.\n\nChange-Id: I63ae1ab2f1bb37daa236cde4096c3c893fd80dd2\n"
3630,"Remove Hyper-V support\n\nHyperV has been unmaintained for several releases now. The unit tests\nare superficial we have no way to test it noone has stepped forward\nto maintain it and for a very long time we\u0027ve not had any reports that\nit works. Furthermore many improvements have been made across other\nhypervisor drivers that have not been done in the HyperV driver so even\nif it worked it would only expose a subset of the functionality that\nthe other drivers do.\n\nImplements blueprint hypervsectomy.\n\nChange-Id: I3160915816a305d7d6bc34790f9deac459b562a9\n"
3631,"Make sure multiple calls to _get_session() aren\u0027t nested\n\nFixes bug 924918\n\nasync_call_plugin() acquires a xenapi session as does the nested call to\nget_xenapi_host(). This can cause a deadlock if multiple greenthreads\nall block waiting for the outer sessions to be freed to allocate the\ninner session. This change moves the call to get_xenapi_host() to outside\nthe with statement to ensure calls to _get_session() aren\u0027t nested.\n\nChange-Id: I8f5490f40a9ccaf74a276187f66519a5d5f52b2e\n"
4962,"Adds name_check filter\n\nFixes bug 926048.\n\nFilter checks path for user-defined forbidden characters and for\nuser-defined maximum length.\n\nChange-Id: Iace719d6a3d00fb3dda1b9d0bc185b8c4cbc00ca\n\nAdds name_check filter\n\nFixes bug 926048\n\nName_check.py and test_name_check.py added\n\nChange-Id: I92836f67f0144133a631697deb2cb024325d4b47\n\nAdded three characters to default FORBIDDEN_CHARS\n\nBug 926048. See name_check.py.  These extra characters have been identified as\nsecurity risks by the HP security team.\n\nChange-Id: I6e211c7a8eb1a38e5a6573a884e92d4d57fef83d\n\nChanges to reflect gholts comments\n\nBug 926048.  See name_check.py and test_name_check.py for changes:\n- cleaned-up logic\n- added license header\n- changed method names so that they are consistent\n- removed print statement in __init__\n- made error messages more informative\n- changed unit tests\n\nChange-Id: Ifd46ca7dc3e9dfa2fd38a62a8e7e70ae5f85c208\n\nFixed pep8 warnings.\n\nBug 926048.  Fixed name_check.py and test_name_check.py.\n\nChange-Id: I2bbc92f5fdbc4a6f3f3dcb27f8070dc3e7ad33af\n"
3632,"Remove EC2 admin API.\n\nChange-Id: Ica03b59c3a0248ccd7b4f234ba014408574cf38b\n"
4963,"add user password strength checks using cracklib\n\nChange-Id: I5e4110a265f9048ddaccf20f84dcc3af3e82bb1c\n"
4964,"Modify puppet repo to work with stackforge\n\nAdd stackforge manifest (can be pointed to in puppet.ini)\nRemove gerrit_installed lib (doesn\u0027t work with puppet master)\nMake jenkins_master module more generic\nHave an SSH key for different jenkins_slave setups\n\nChange-Id: Ic52f06d150210038aaf47c48aeb7c991b94c6fc8\n"
3633,"lockfile.FileLock already appends .lock\n\nOtherwise you end up with files like nova-iptables.lock.lock\n\nChange-Id: Ia7dd82c3721f89d438c1266e7ec3535a0d89334e\n"
4965,"Add Nexenta volume driver docs.\n\n * Rebased against master\n\nChange-Id: Ie954e5c1c6e04864f179c2b1d8efd68979452994\n"
3634,"Fix logging to log correct filename and line numbers\n\nFixes bug 920809.\n\nChange-Id: I192159efbb8d678d1e1071b18233d19ebcd7198b\n"
4966,"Fixing incorrect use of instance keyword in logging.\n\nFixes bug 948154\n\nChange-Id: I8adc48482c26528d1e671c8e038c23caaa0f861d\n"
3635,"Window now goes as low as 1024px wide without breaking.\n\nChange-Id: I9e4c12b6e88bcfd7ec0a99765a51a4a919c9276c\n"
2309,"fix for 903988\n\nChange-Id: I0ab7f2bd6eb3e22d811f08b4c038283e10f4b594\n"
4967,"No longer ignoring man/novamanage\n\nFixes Bug #948165\nman/novamanage is a manpage and should be included\n\nChange-Id: I497b3d2a348dc74f8ebcd08e628a6b9324dd3a8f\n"
2308,"Refactor vm_state and task_state checking\n\nThis branch refactors the recently merged code for checking vm_state and\ntask_state. The list of allowed states is merged to the method being\nchecked more methods are being checked and cleans up the general usage\nof them to be easier to read.\n\nChange-Id: If6130dbab947f7bd037e37af9827b6a7c9a193d4\n"
3636,"Simplified method names to be more self explanatory\n\nChange-Id: I8f1f2e0163db147fcfac12caa62b34a966ae95bd\n"
4968,"Avoid running code that uses logging in a thread\n\nFixes bug 946687\n\nThis avoids problems with code that uses logging from running in a thread\nwhich isn\u0027t necessary for unit tests anyway.\n\nChange-Id: I9c296c3c46317c9aaba7f1a92cd565a35682ce23\n"
3637,"DRYing up Volume/Compute APIRouters\n\nFixes bug 925102\n\nChange-Id: I4ad3f95bec606ef1767d120b94e5fd03f16a7d3e\n"
2307,"Adds a named view for sending users to the appropriate home page.\n\nFixes bug 893219.\n\nChange-Id: I6698cc3261d2f9e62b36684bedcad0a4a52b26a9\n"
4980,"Docs-install: Clarification regarding %tenant_id%\n\nFixes bug 943719\n\nChange-Id: Ib02d0cbaf6124b95d30b447542d4a7de4bd592fb\n"
4981,"Minor typo/grammar fixes.  Bug 947286.\n\nChange-Id: I69d4a01c4d066c844ae2564b7f2aeb0d9b42afc9\n"
3650,"Fix rootwrap: KillFilter matching\n\nCheck kill command first\n\nChange-Id: Iee3c6a792ff7dfee27a51b3ea9b477f5dc12463f\n"
4982,"Update for AUTHORS file to remove duplicate entries\nMultiple emails per person are mapped in .mailmap file\nFixes bug 945268\n\nAs primary email I\u0027ve assumed the last one used in a commit.\n\nChange-Id: I755e98ccf82dc9a680bbfb103a0703c4d84d3e34\n"
3651,"Rename inst in _create_image and pass instance to log msgs.\n\nThis renames inst in _create_image to the more consistant name\n\"instance\". It also passes the instance through log messages in this\nmethod and removes the instance name from the translatable text\nfor the corresponding log messages.\n\nChange-Id: I9a085198d3bea5d073f4297cc57c84dc7fcb0349\n"
2320,"We\u0027ve renamed the venvs. with_venv.sh is a file.\n\nChange-Id: Ib2be81ef04539b7bf6d348e4f1525ba58a4829ef\n"
3649,"Fix admin password skip check.\n\nSkip admin password configuration only if the agent \u0027version\u0027 is\nempty. Previously both the \u0027version\u0027 and \u0027agent_build\u0027 were\nrequired to be set.\n\nAs the \u0027agent_build\u0027 table is primarily used for upgrades\nthere should be no requirement that a record exist in order\nto configure admin passwords.\n\nFixes LP Bug #925237.\n\nChange-Id: Ie4530a30ed02f3d49a07037e9d1cc52ef0af1dd4\n"
2317,"Switch versioning to common Nova versioning\n\nUse \"2012.1\" as the version for python-novaclient to align with\nNova common versioning (starting with Essex-2 python-novaclient\nis shipped as a Nova project deliverable. Fixes bug 904182.\n\nChange-Id: I85d742a346bbaae1dc92a476c140f7f862a0828c\n"
2316,"blueprint refactor-readme-to-manual\n\nRemoves most of the content from the README to avoid it becoming outdated\nand stale given that our currently maintained docs are now on\nhttp://docs.openstack.org .  In some cases including keystone config\nextension writing etc. this means text from the README is being\ntransferred directly from the README to an external doc so we make\nsure we don\u0027t lose anything.\n\nChange-Id: Ie08db4bd4854bb45e6777b1e0abe37f51d3e5c5c\n"
1,"Add puppet module for ssh that installs an sshd_config that only allows login via keys.\n"
2315,"Adding live migration server actions\n\nChange-Id: I5e1f5dddaf45d1c6eae8666647425bff748b639e\n"
2,"Added basic doc skeleton.\n"
2314,"Hiding unusable actions for instances that are not in the active state\n\nChange-Id: If663197ad74535b1cf724531c721933d34169487\n"
3,"We don\u0027t need two levels.\n"
2313,"Restored instance details to instance index and detail pages.\n\nFixed bug 900435.\n\nChange-Id: I61a475b61ae55cdcd55cc0373c2cdb5d71cff0c1\n"
4,"Add gerrit dev/prod servers to jenkins slave known_hosts.\n\nChange-Id: Iea32ad3aedbee996db53655842061d14c9e3d876\n"
2312,"Fixed issue with white space after pep8 review\nCode review changes for Fixes for lp:903989\nChange-Id: Ic345f0b30f24764a6f933684577323042fdeb8aa\n"
5,"Fix problem with jenkins known_hosts url.\n\nChange-Id: Ib6af08a6af71a6e5853d958a12f63c381eafa039\n"
2311,"blueprint Improve Dashboard UX\n\nbug 904030\n\nAfter the user submits a form by hitting a submit button (an application wide behaviour) the button now provides visual confrimation of it\u0027s submission by disabing though the removal of the primary class.\n\nChange-Id: If52fe30b55b78a46951568df7a78dc2b6efa6ad3\n"
6,"Added support for copying keys from launching host.\n\nChange-Id: I71fdb9c25ec18a6cea32685f1ee7d3e698b40e3b\n"
7,"Added ssh key and gpg key copying.\n"
2310,"blueprint Improve Dashboard UX\nbug 904030\n\nAfter the user submits a form by hitting a submit button (an application wide behaviour) the button now provides visual confrimation of it\u0027s submission by disabing though the removal of the primary class.\n\nChange-Id: I366e1de437e4c2d6222a83e91ef1ca77b57adb67\n"
8,"Move the keys into the puppet dir for easy install.\n\nChange-Id: I6a3374a678e77a24b5c28a8c3a4d78a8bf06ca1c\n"
4972,"Improve the error message from the nova shell\n\nOutput \u0027nova help\u0027 on error rather than `nova\u0027\n\nChange-Id: I67360589a4af5697d3f90afa74b8504eefaf4976\n"
3641,"Updating version to v2 from v1.1\n\nChange-Id: I717375464d0ed360217604848bff2259bed6ef84\n"
4973,"Remove old stats tools.\n\nhttps://blueprints.launchpad.net/swift/+spec/remove-old-swift-stats-tools\n\nChange-Id: Ibb57b3d71c7f18060d2d48a1d3754a7f1444624d\n"
9,"Added a manifest for the openstack-ci test slave.\n\nChange-Id: I28119ac1735127812866a4b0519368a829e2e666\n"
3642,"Updating to v2 from v1.1\n\nChange-Id: Iafbf61b22e54787b40016457ff4585469508ee9f\n"
4974,"Distinguish rootwrap Authorization vs Not found errors\n\nRootwrap will return \"not authorized\" for a command\nthat is defined in the rootwrap filters but not\ninstalled on the system.  Therefore return the first\nmatching filter for such a command so that sudo will\ntry to execute it and return a more appropriate error.\n\nChange-Id: I77eeff229e73d55083a735af7a9029469132c800\n"
3643,"Adds a pom to markdown files directory for automation work\n\nChange-Id: If12186bda8230f89e93d7d10193dfee3787affbc\n"
