,Comment
0,video tegra set border color to black on nid erik gill 
1,arm add gener fiq serial debuggernid iliyan malchev arv hjønnevåg 
2,arm fiq debugg add tti to fiq debuggernid colin cross 
3,arm tegra cpuidl fix fiq dure idlenid colin cross 
4,fs partit add partit name to ueventnid colin cross 
5,fix section mismatch warningnnnedoffbi dmitri shmidt 
6,systemcor dsd start two ril daemonsnid 
7,video tegra forc blend updat on enabledis not suspendresumenid erik gill 
8,remov unnecessari java version is enforc by the build system nownid 
9,merg commit of into timercleanupn 
10,perman fix for workaround of timer issu commit compil gener incorrect instruct when load timersnbecaus wa use befor it wa declar thi causednth compil to assum that a normal bit int would be returnednrath than a bit one just includ the hwhwh header isnsuffici to correct thisnnth makefil for the project ha recent been chang to build withnwal which should prevent thi from go unnot againnid 
11,fix an issu where src file can be delet in adtnnold project gener the java class R aidl intonth main src foldernnther is code in adt to migrat them to the new modelnwher gener class go in gen by remov derivednresourc from the sourc folder thi is also usednbi the clean featur of the precompil buildernto clean the content of gennnto make it better in adt we ad someth tondelet the folder contain the deriv resourcesnexcept thi check if the folder is not emptynaft the deriv resourc have been delet ornnot if it contain nonderiv resourcesnnthi mean import older project or possiblynteam project see delet the whole content of the sourc foldernnthi chang make sure that onli folder for whichnal member have been delet are deletednid 
12,enforc build environmentnnw will onli support build environ beyond nid 
13,refresh the layoutlibcr docnid 
14,indic of mobil network inform technic descriptionnnwhen view avail plmn public land mobil network the currentnimplement doe not display the network technolog nor doesnit allow select a specif plmn in automat modennthi contribut willnn display network informationnn separ search mode automat manual from network searchnn allow select a specif network in automat mode which mightnb later on unselect by the network in order to reselect a highernprior architecturenntelephoni framework support new interfac to select a network innautomat mode as well select a plmn for a specif rat radio accessntechnologynntelephoni applic show the new network inform allow the usernto select a network in automat mode as well as select searchnnetworksnid 
15,improv of mobil network technic descriptionnnwhen view avail plmn public land mobil network the currentnimplement doe not display the network technolog nor doesnit allow select a specif plmn in automat modennthi contribut willnn display network informationnn separ search mode automat manual from network searchnn allow select a specif network in automat mode which mightnb later on unselect by the network in order to reselect a highernprior architecturenntelephoni framework support new interfac to select a network innautomat mode as well select a plmn for a specif rat radio accessntechnologynntelephoni applic show the new network inform allow the usernto select a network in automat mode as well as select “searchnnetworks� independ from the search modenid 
16,end usersuppli infdeflat on close streamnncal close on the follow compress stream classesnshould not invok end on the underli inflaterdeflat if itnwa suppli in the stream class constructornn inflaterinputstreamn inflateroutputstreamn deflaterinputstreamn deflateroutputstreamnnthi fix updat the behaviour of the close method on those classesnto match the RI allow reus of inflat deflat suppli tonstream class constructorsnnthi issu wa ialli observ use jgit on android jgit use anninflatercach to recycl inflat but in the case where that inflaternwa use on a stream it would be return to the cach in an invalidatednst seeminglyrandom except would occur as the invalid inflatersnwer reus in other context 
17,remov compil warn when build the emulatornnthi forc wall dure the build note that thi patch all warn but most of the remain one are from upstream anywaynid 
18,mm add a mightsleepif in dmapoolallocnnbuggi driver eg fsludc could call dmapoolalloc from atomicncontext with gfpkernel In most instanc the first poolallocpagencal would succeed and the sleep function would never be callednthi allow the buggi driver to slip through the cracksnnadd a mightsleepif check for gfpwait in flagsnid dima zavin 
19,add poll mechan to batteri servicennvirtualbox acpi implement send acpi event on batterynlevel chang and on charger whi I propos to implement a poll mechan which checksnbatteri inform everi x secondsnthi patch use system properti statusbatterypol andnstatusbatterypollingfreq to enabl poll and set poll not sure I chose the right properti name pleas let me knownid daniel fage 
20,extern BT gp support for icsnnallow user to chang intern gp to extern gpsnimplement request httpilokinl for more informationnnnedoffbi cuong 
21,fix error in apkbuildertask for jar file with resourcesnnjar file specifi with are search twicenfor resourc the build fail when resourc are foundnth second timenid 
