,Comment
0,video: tegra: set border color to black on init\n\nChange-Id: Ib8fe2722ab98b3d8a34edc2a26b6b5d4dd338973\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
1,ARM: Add generic fiq serial debugger\n\nChange-Id: Ibb536c88f0dbaf4766d0599296907e35e42cbfd6\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\nSigned-off-by: Arve Hjønnevåg \u003carve@android.com\u003e\n
2,ARM: fiq debugger: Add tty to fiq debugger\n\nChange-Id: I80347cdb70cda104b96562c63f972c1f217e3822\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3,[ARM] tegra: cpuidle: Fix FIQs during idle\n\nChange-Id: I9d91bce6629d3e12e816f34ac80ae8e5ee83fa41\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
4,fs: partitions: add partition name to uevent\n\nChange-Id: Ibde080cb84b313867ae593e3d46f12223f28babe\nSigned-off-by: Colin Cross \u003cccross@android.com\u003e\n
5,l2tp: l2tp_eth: Fix section mismatch warning\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
6,System/Core (DSDS): Start two ril daemons\n\nChange-Id: Ib619e59077812886c38a574071fe8b4732fda595\n
7,video: tegra: force blend update on enable/disable not suspend/resume\n\nChange-Id: I2d47d820311554b29db302ab9370574f2112cb51\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
8,Remove unnecessary java version check\n\nJava6 is enforced by the build system now.\n\nChange-Id: I07bad9ac4b8ace81705b1a72eb36eb8578fb99ff\n
9,Merge commit \u0027refs/changes/99/17199/1\u0027 of ssh://review.source.android.com:29418/platform/external/qemu into timer-cleanup\n
10,"Permanent fix for workaround of timer issue (commit a7f114bc).\n\nThe compiler generated incorrect instructions when loading timers\nbecause qemu_get_be64 was used before it was declared. This caused\nthe compiler to assume that a normal (32 bit) int would be returned\nrather than a 64 bit one. Just including the \hw/hw.h\"" header is\nsufficient to correct this.\n\nThe makefile for the project has recently been changed to build with\n-Wall which should prevent this from going unnoticed again.\n\nChange-Id: I74c98183287cf26b767a36f7a6ff9ebf0b891826\n"""
11,Fix an issue where src files can be deleted in ADT.\n\nOlder projects generated the java class (R aidl) into\nthe main src folder.\n\nThere is code in ADT to migrate them to the new model\n(where generated classes go in gen/) by removing derived\nresources from the source folder. This is also used\nby the clean feature of the pre-compiler builder\nto clean the content of gen.\n\nTo make it better in ADT 0.9.8 we added something to\ndelete the folder containing the derived resources.\nExcept this doesn\u0027t check if the folder is not empty\nafter the derived resources have been deleted (or\nnot if it contained non-derived resources).\n\nthis means importing older projects (or possibly\nteam projects -- see http://b.android.com/11347)\nwould delete the whole content of the source folder.\n\nThis change makes sure that only folders for which\nall members have been deleted are deleted.\n\nChange-Id: I04b6d986fb3e454a259213fcda197400e9e7c974\n
12,Enforce 64-bit build environment\n\nWe will only support 64-bit build environment beyond froyo/2.2 .\n\nChange-Id: I71eb1230bf0bc12ccde2aeda6255db6a87540437\n
13,Refresh the layoutlib_create doc.\n\nChange-Id: I43e92c33d824ace9edd77d90a1b36a5f69d85e7f\n
