Id,Comment
17284,video tegra set border color to black on nid erik gill 
17285,arm add gener fiq serial debuggernid iliyan malchev arv hjønnevåg 
17286,arm fiq debugg add tti to fiq debuggernid colin cross 
17287,arm tegra cpuidl fix fiq dure idlenid colin cross 
17281,fs partit add partit name to ueventnid colin cross 
17282,fix section mismatch warningnnnedoffbi dmitri shmidt 
31590,systemcor dsd start two ril daemonsnid 
17283,video tegra forc blend updat on enabledis not suspendresumenid erik gill 
17299,remov unnecessari java version is enforc by the build system nownid 
17295,merg commit of into timercleanupn 
17296,perman fix for workaround of timer issu commit compil gener incorrect instruct when load timersnbecaus wa use befor it wa declar thi causednth compil to assum that a normal bit int would be returnednrath than a bit one just includ the hwhwh header isnsuffici to correct thisnnth makefil for the project ha recent been chang to build withnwal which should prevent thi from go unnot againnid 
17297,fix an issu where src file can be delet in adtnnold project gener the java class R aidl intonth main src foldernnther is code in adt to migrat them to the new modelnwher gener class go in gen by remov derivednresourc from the sourc folder thi is also usednbi the clean featur of the precompil buildernto clean the content of gennnto make it better in adt we ad someth tondelet the folder contain the deriv resourcesnexcept thi check if the folder is not emptynaft the deriv resourc have been delet ornnot if it contain nonderiv resourcesnnthi mean import older project or possiblynteam project see delet the whole content of the sourc foldernnthi chang make sure that onli folder for whichnal member have been delet are deletednid 
17298,enforc build environmentnnw will onli support build environ beyond nid 
17291,refresh the layoutlibcr docnid 
17292,indic of mobil network inform technic descriptionnnwhen view avail plmn public land mobil network the currentnimplement doe not display the network technolog nor doesnit allow select a specif plmn in automat modennthi contribut willnn display network informationnn separ search mode automat manual from network searchnn allow select a specif network in automat mode which mightnb later on unselect by the network in order to reselect a highernprior architecturenntelephoni framework support new interfac to select a network innautomat mode as well select a plmn for a specif rat radio accessntechnologynntelephoni applic show the new network inform allow the usernto select a network in automat mode as well as select searchnnetworksnid 
17293,improv of mobil network technic descriptionnnwhen view avail plmn public land mobil network the currentnimplement doe not display the network technolog nor doesnit allow select a specif plmn in automat modennthi contribut willnn display network informationnn separ search mode automat manual from network searchnn allow select a specif network in automat mode which mightnb later on unselect by the network in order to reselect a highernprior architecturenntelephoni framework support new interfac to select a network innautomat mode as well select a plmn for a specif rat radio accessntechnologynntelephoni applic show the new network inform allow the usernto select a network in automat mode as well as select “searchnnetworks� independ from the search modenid 
31580,end usersuppli infdeflat on close streamnncal close on the follow compress stream classesnshould not invok end on the underli inflaterdeflat if itnwa suppli in the stream class constructornn inflaterinputstreamn inflateroutputstreamn deflaterinputstreamn deflateroutputstreamnnthi fix updat the behaviour of the close method on those classesnto match the RI allow reus of inflat deflat suppli tonstream class constructorsnnthi issu wa ialli observ use jgit on android jgit use anninflatercach to recycl inflat but in the case where that inflaternwa use on a stream it would be return to the cach in an invalidatednst seeminglyrandom except would occur as the invalid inflatersnwer reus in other context 
17294,remov compil warn when build the emulatornnthi forc wall dure the build note that thi patch all warn but most of the remain one are from upstream anywaynid 
17290,mm add a mightsleepif in dmapoolallocnnbuggi driver eg fsludc could call dmapoolalloc from atomicncontext with gfpkernel In most instanc the first poolallocpagencal would succeed and the sleep function would never be callednthi allow the buggi driver to slip through the cracksnnadd a mightsleepif check for gfpwait in flagsnid dima zavin 
31582,add poll mechan to batteri servicennvirtualbox acpi implement send acpi event on batterynlevel chang and on charger whi I propos to implement a poll mechan which checksnbatteri inform everi x secondsnthi patch use system properti statusbatterypol andnstatusbatterypollingfreq to enabl poll and set poll not sure I chose the right properti name pleas let me knownid daniel fage 
31581,extern BT gp support for icsnnallow user to chang intern gp to extern gpsnimplement request httpilokinl for more informationnnnedoffbi cuong 
31583,fix error in apkbuildertask for jar file with resourcesnnjar file specifi with are search twicenfor resourc the build fail when resourc are foundnth second timenid 
18597,video tegra allow set output mode without chang fb geometrynid erik gill 
17266,arm twd fix updat control regist in setmodenid colin cross 
17267,fix the size of text in the power dialognid 
18598,video tegra transmut hdmi mode into support onesnid erik gill 
18599,video tegra flesh out edid supportnn read block in a singl command instead of byte at a timen allow read past segment edid bytesn handl mutipl extent blocksn add debugf file for read edidnid erik gill 
17268,make dexzipextractentrytofil do crc check after extract the entri to cach filennif crc mismatch happen extract and check data againnid 
18593,adt exclud tag from the gle palettenid 
17262,eclair ct version increment to 
18594,fix depend vmtest jar pathnnpush file to datalocaltmpjar not datalocaltmpjarnnbug 
17263,DO not merg froyo ct version increment to 
18595,allow OS X emul to open host dev devicesnnonli doe not allow thi so simplifi the test in the sourc coden remov compil warningnid 
17264,arm twd fix prescal get clear by setmodenid colin cross 
18596,video tegra add ioctl for queri modesnid erik gill 
18590,adt fix to make proguard work under windowsnn the proguardbat can onli pass arg but we have son use a temporari proguard config file for windowsnn proguardhom need to be defin properli sinc the defaultn proguardbat cannot infer it properli We need other fixesn to that batch file so eventu not go to ship then default one and we can fix the bat file but properli definingn thi env var is probabl a good idea anywaynid 
18591,sdk fix proguardbat connthes are similar to the externalproguardbinbatnexcept they use $sdktoolslibfindjavabat to locat thenjava locat and use it if avail findjava will printna proemin error if java cannot be foundnid 
17260,tegra recov from spuriou interrupt stormnnr the control when an irq arriv with bit set to indic whi the interrupt wa sentnstorm of such mysteri interrupt are infrequ seennndump some more statu when these interrupt arriv set an errornfor the current request and wake up the request rather thanntim out the request or possibl silent ignor the interruptsnnif the block is insid the dvc also ack the dvc transferndon interrupt in the isr error return path as is done for thennorm return pathnid todd poynor 
18592,media player fix for paus after system suspendresumenndescript dure system wide suspendresum call the state machin fornstagefright player awesom player are reset and the flag are updatednaccordingli but the state variabl insid media player class are leftnat the playpaus state depend on the current state while suspend callni issuednbecaus of thi mismatch in the state between media player and the awesomenplay the subsequ call to isplay queri insid media player isnset the state to paus as a error correct mechan sinc thenmedia player state is incorrectli set as paus even though it wa in startednst dure suspend all the subsequ call to paus will return withoutnani actionnninord to correct thi the suspend state is introduc in the media playernth current state is save dure suspend and is properli restor on resumencallnnvalid test AV playback pauseresum sever time along with multiplensystem wide suspendresum transitionsnid sunita nadamp 
17261,arm tegra powerg the mpe and core at bootnid dima zavin 
17277,support show cold batteri healthnnth linux kernel support report cold batteri health to sysfsnandroid framework ha not implement thi and it default to unknownnthi add handl the cold batteri healthnid 
17279,audiotrackcblktstepserv chang to call cvbroadcast instead of cvsignal which will correctli signal all pend thread that new audio data is availablenid 
17273,add ethernet set to androidnid 
17274,remov duplic rule for gener sourc filenid 
17275,setvibrateset for notif in soundsettingsnnsom applic on the market chang ringer and notif vibrat set independ If a user remov thi applic chang vibrat set onli fix their ringer set thi patch keep notif and ringer vibrat set in sync otherwis there is no way to fix notif vibrat set user expect vibrat set to carri over fix issu 
17276,support show cold batteri healthnnth linux kernel support report cold batteri health to sysfsnandroid framework ha not implement thi and it default to unknownnthi add handl the cold batteri healthnid 
17272,fix makefil by ad mandatori user tagsnnth build system now requir a localmoduletag defion in each androidmknid 
31560,phone support for multisimnid 
20896,put the traceview plugin UI in an editor instead of a viewnnth editor is associ with the atv extens android traceviewnid 
18575,arm tegra remov debug from tegramoveframebuffernid colin cross 
17244,there is no note javadoc tagnid 
20895,goldfishfb add miss semicolonnid 
18576,arm tegra cpuidl defin powerspecifiednnturn on the cpuidledevic powerspecifi fieldnto enabl usag of the defin cpuidlestatepowerusag fieldsnfor each statennnedoffbi jame wylder todd poynor 
17245,tegrafb add forwarddecl for struct use in function prototypesnid gari king 
20894,improv to renderscript supportnn chang depend file locat to be in the gen foldern in the same packag as the sourc file thi prevent collisionsn if there are two class name the same in differ packagesn or sourc foldersnn now that the depend file are visibl track their deletionn and forc recompil if thi happensnn miss depend file dure gener ializ forcen a recompil of the sourc filenn prevent packag from take rs rsh and d file from then sourc folder thi also impact the ant build systemnid 
18577,more ct test runner fixesnnchang the ial statu of test now to fail andnmak instrumentationctstestrunn explicitli reportnwhen it ha omit a test due to profil or featurenrequir onlynnmor background on whynniniti the start test statu wa set to passnthi seem like a bug becaus test that did notnget a result back from the test runner would automaticallynpassnni notic thi when ad the profilefeatur annotationsnso I chang the test statu to notexecut howeverni discov that batch test runner would rerun ani testsnthat were not execut so ani test that were discardednbi the annot would be rerun infelynnso theni chang the test statu to start off as omittednso that discard test which produc ani output wouldnget flag as omit and not caus inf retryingnnhowev thi uncov a whole class of test that werenb omit due to test error previous mark pass evennthough they were fail thi is becaus the test wouldnfail to execut as a batch and then ct as part of it algorithmnwould run them individu again howev due to an errornof be unabl to load the test class they would be markedna pass befor the omit chang becaus there would benoutput from the runnernnbi set the default statu to fail there be ani testsnthat get away as pass due to get no output from the runnernunfortun thi mean ani test that execut ornthrown out by annot will be flag there seem to bena coupl of test mark with suppress that will need to benchang to brokentest there is probabl a more involv fixnto fix these thing but it probabl not worth it at thi timennth default statu also cannot be error becaus ct see bothnerror and failur as the samenid 
17246,tegrafb fix section mismatch in host driver skeletonnid gari king 
20893,gener temporari hardwareini from configur settingsnnthi patch gener a temporari hardwareini from the hardwarenconfigur the idea is to move as much hw config info as possiblento a singl file that the core can readnnoth patch will chang how variou config info is pass to thencor from commandlin option to the gener hardwareinin 
18578,arm tegra clock fix warningnid 
17247,improv froyo armeabi testnnunlik the eclair port of the test there anythingnwrong with the froyo version becaus the buildunknown when the properti is not set howevernth test make a distinct between the propertynnot be set and a properti be set with the valu unknownnntherefor port the same enhanc done for the eclair testnand improv the messagingnid 
20892,fix scroll bug upon pinchzoomnnwhen the user is use two finger to pinchzoom a photo the screennwil keep scroll to the upperleft direct even when the twonfing are stationari nid madan ankapura 
18571,arm tegra irq add debugf file to show wake irqsnid colin cross 
17240,arm tegra chang smp startup to use readalloc cachennmirror the chang to common startup in the and hotplug statup routinesnid gari king 
20891,calendar fix npe from unial handlerthreadnncommit in aosp master removednth call to privat constructor which ializednth static handlerthread thi caus an npe when load contact photosnin appointmentsnnread the static ializ to restor thi functionalitynid 
18572,arm tegra timer remov clocksourcennth clocksourc is never use becaus it is alway registerednat the same time as the us clocksourc which ha a higher ratingnus the clocksourc would caus a race condit with thentegrartc driver on the rtc shadow regist remov the add a replac tegrareadrtcm function for thensuspend code to track suspend time and add a comment onnreadpersistentclock that it should never be call while thentegrartc driver is run It is current onli call fromntimekeep suspend and resumenid colin cross 
17241,arm tegra mirror innercach chang in tegra startupnid gari king 
17242,ad build instruct for nexu one on froyonid 
18573,arm tegra timer fix us timer time after resum from suspend or dure a fail suspend the core power isnnot turn off and the timer regist is not reset save thentim valu dure suspend and ad it to the offset after resumenwil caus the timer valu to doubl for each suspend cyclennto fix when resum subtract the current valu of the timernregist from the offset also use the rtc regist to addnth time that pass dure suspendnid colin cross 
20890,libstagefright fix live rtsp stream on some is also a valid rang to describ an inf session use by some popular rtsp server in mobil environ exampl assum that inf is alway wa caus sessionnsetup to fail and thu break the mobil tvtype servicesnnalso drop rtp video packet that are out of sequenc tri tonreord these wa caus a veri long time in start the streamsnid 
18574,arm tegra suspend track the amount of time spent in suspendnid colin cross 
17243,fix eclair armeabi testnnth properti for devic wasnincorrectli be check for unknown the valu of unknownncom from the froyo version of thi test which is what constant wa if the properti wa not set fix theneclair version by use getprop to make sure the properti isnnot set at allnid 
18570,arm tegra cpuidl keep statist on idl wake interruptsnid colin cross 
20899,fix possibl npe in traceviewnid 
20898,make up better class namesnnjavagener sourceprocessorngeneratordeltavisitor sourcechangehandlernnonjavafilebundl sourcefiledatanid 
20897,fix oprofil compil in pic modennthi patch modifi the inlin assembl fragment to properlynsav ebx when call the cpuid instruct otherwis the compilernwil error complain that the pic regist ebx is clobberednid 
31551,frameworksbas dsd two ril instanc for two rildnid 
18579,contact close cursor object after usennin callorsmscontact function phonescursor is never close whichncaus cursor leak close the phonescursor after it usenid 
17248,net wireless fix interrupt enabl in case of errornnnedoffbi dmitri shmidt 
17255,arm tegra ventana regist interruptsnnconfigur the pmc interrupt polar low and regist irqnnumb with the core and rtcnid gari king 
18586,sniffer increas confid levelnnadd logic to check if the video confid level can benincreas If the confid level be increas thenlevel will be left as it wa found befor the attemptnthi chang is use when compet sniffer assign conflictingnvalu specif sniffer vs sniffernid carlo aceff 
17256,add a runnam paramet to itestrunlistenertestrunstartednid 
18587,mediascann crash on japanes meta filennmediascann crash while scan a file which ha a japanesenfilenam and ha no metadata or too long metadata In thi casenth filenam will be store to DB as the titl and some japanesenfilenam caus a crash while creat search keysnnwhen the data convert into the sort key exce the size ofnth buffer buffer over run is gener by a bug ucolucolcalcsortkey the sort key is set to the buffernwhil advanc the pointer by one byte when sort key isntwobyt primari and compress data the pointer is advanc toonmuch and a buffer over run is generatednid 
18588,wait time introduc befor send first dtmf digitnnad fix to wait for sec interv befor sendingnth first dtmf digit to ril as per TS 
17257,use proguard for releas build through antnnthi is onli activ if defaultproperti containsna properti proguardconfig with the name of a proguardnconfig filennsom cleanup in the ant task and in the namenof the properti use by the rule and the customntask to make them clearernnad a new test app with a project use a jar filena well as a librari use a jar filenid 
17258,minor chang to enabl svgnnwith thi patch set if enablesvg and enablesvganim arendefin to be true eg B externalwebkit while compil webkitth resultingnbrows will handl svg If you run the test it will passnth svg test that is the test result will chang to 
18589,show failur at top of reportnndisplay a separ section for failur as well as timeout at thentop of the report thi wa faster in the browser than have anpulldown that dynam filter the result by showinghidingnt row by their classnid 
18582,stagefright ad the api setcallback to return the overlay buffer after renderingnnad the api setcallback to the videorender interfacenthi callback may be use by the render modul to return the buffer after renderingnid anu sundararajan 
17251,regul fix valu rang check for valnnval is use as array index of the valid valu rang should be axel lin mark brown liam girdwood gari king 
18583,libstagefrighthw ad the setcallback apinnimpl the setcallback api that wa ad to thenvideorender interfac in anu sundararajan 
17252,regul fix bitmask paramet for third paramet of is the bitmasknthu we should use instead of axel lin mark brown liam girdwood gari king 
18584,tabwidget orientationnntabwidget orient specifi in tabcontentxml instead of tabwidgetjavangener the orient of the tabwidget should be set in xmlfilesnand not in tabwidgetjava A sub class of tabact may call setcontentviewnus a custom layout where the tabwidget orient is verticalnthi is the case in the UI enabl bottom tab featur for landscapendisplay orientationnid 
18585,manag roam supportnnif the network registr is deni with reject caus persist locationnupd reject in manual network select mode manag roam dialog isndisplay user can select an oper from the avail network listnid 
