Id,Comment
577,use mirrorsn 
579,add miss headersnnfix build gcc alexey zaytsev 
593,add miss headersnnfix build gcc debiannnnedoffbi alexey zaytsev 
594,add miss headersnnfix build gcc debiannnnedoffbi alexey zaytsev 
595,add miss headersnnfix build gcc debiannnnedoffbi alexey zaytsev 
776,add miss headersnnfix build gcc debiannnnedoffbi alexey zaytsev 
789,evan jiang fix build bug make sdknif run make sdk root path would locat sourc filendevelopmentemulatorprebuiltandroidarmkernelqemunmak guess kernelqemu path wrong sdkatre filenwith thi patch make sdk work okn 
793,fix compil openjdkn 
1202,add file describ rebuild emul kerneln 
1205,detect miss javac provid slightli help error messagennnot hyphen error messag requir becaus output ofnthi script use directli makefil targetnnnedoffbi rod whitbi 
1216,updat classpath use eclips iden 
1233,ad broadcast extern power eventsn 
1241,ad broadcast extern power eventsn 
1248,ftb fix buildn 
1251,add build system design docn 
1254,androidmk copi default apn list systemetcn 
1255,add prebuilt kernel built kernelmsmgit 
1261,add patent disclaimerntnew file file file file file file 
1275,chang valu actionpow constant better match establish practicenntrim code line match style guiden 
1276,implement scandir oprofilen 
1277,remov file need run devicen 
1355,reviv tinyandroid build optionnn updat coremainmk includ right toplevel directoriesn disabl tasksapicheckmk tinyandroid build prevent failuren 
1360,add support return recent result string call activityn 
1362,perform caseinsensit match mimetypematch support use uppercas contenttypen 
1371,add gitignor modul buildn 
1376,handl qemu option correctlyn 
1387,fix buildnnrevert extract compon oprofil run phonenrevert remov file need run devicennthi revert commit revert commit 
1411,use type comparison float point field valu rather string comparisonnthi address toolchain issu see 
1435,extractfil grab wifi firmwar confign 
1442,fix build proper currentxml api filen 
1454,updat valu actionpow constant match establish practicen 
1456,extract compon oprofil run phonen 
1459,remov unus youtubeupload activityn 
1524,merg commit gitandroidgitkernelorgplatformbuild ftbn 
1525,fix build hand apl jbq currentxml chang becaus attempt merg failedn 
1527,make boot anim center alignedn 
1535,fix fileobserv jni bugnth path string fileobserv jni automat releasednin loop caus mani local ref refntabl receiv mani file chang notificationsev thenprocess kill fail ad jni local ref tablentest androidappactivitynimport androidosbundlenimport androidosfileobservernimport androidutillognnimport javaiofilenimport javaioioexceptionnnpubl class testapp extend activ nn public static final string fileobserv observernn overriden public void oncreatebundl icicl n superoncreateiciclen setcontentviewrlayoutmainnn fileobservertmpn overriden public void oneventint event string path n ifev fileobservercreaten logetag file creat path n els ifev fileobserverdeleten logetag file delet path n n n n observerstartwatchingnn file filetmpatxtn int n tri n fcreatenewfilen catch ioexcept e n n fdeleten n last line lognedalvikvm fail ad jni local ref tabl ha VM abortingn 
1539,perform caseinsensit match mimetypematch support use uppercas contenttyp fix formattingn 
1540,fix outoftre modul buildnnnow build correctli withnmak 
1547,initi wack get escal volum alarmsn 
