Id,Comment
4970,chang refer rabbitmq includ qpidnnupd document refer rabbitmq clarifi qpidncan use wellnnchangeid 
4971,renam filesdir rpc api includ rabbitmq updat filenam andndirectori name instead 
3640,region empti break novaclientnnfix error region blank endpoint causingnan errornn relat bug 
3638,keyston config permiss doc incorrectli specifi keyston config permiss would provid user system access mysqlnpasswordnnthi fix typo explicitli add chmod chownnnchangeid 
2306,updat rule appli vifsnnchangeid 
4969,backport auth api support swiftcommonclientnncommit introduc support openstack auth api support onli binswift cli toolnnthi backport miss piec work python client modul toonnchangeid julien danjou 
3639,improv templat avoidancennfix bug 
2305,avoid error trace domvcpu lxcnnthi fix bug use lxc eventuallynse stack trace novacomput due use domvcpusnnchangeid 
2304,followon convert rxtxquota rxtxfactor innnovamanag coupl testsnnchangeid 
2303,expos asynchron fault entiti osapinnshow latest instanc fault server updat show detail listnnchangeid 
2302,improv vlanmapnnsimplifi logic less time spent creat vlansnnchangeid 
2301,updat glanc cach middlewar tri process call tonsubresourc fix bug 
2300,make sure rxtxcap use set infonnchangeid 
4961,hack fix todo authorsnnlook like thi fix hack problem aroundnthank dina belova alexand kovalev thi worknnchangeid 
3630,remov hyperv supportnnhyperv unmaintain sever releas unit testsnar superfici way test noon step forwardnto maintain veri long time ani report thatnit work furthermor mani improv made across othernhypervisor driver done hyperv driver evennif work would onli expos subset function thatnth driver donnimpl blueprint hypervsectomynnchangeid 
3631,make sure multipl call getsess nestednnfix bug acquir xenapi session doe nest call tongetxenapihost thi caus deadlock multipl greenthreadsnal block wait outer session freed alloc theninn session thi chang move call getxenapihost outsidenth statement ensur call getsess nestednnchangeid 
4962,add namecheck filternnfix bug check path userdefin forbidden charact fornuserdefin maximum lengthnnchangeid namecheck filternnfix bug testnamecheckpi addednnchangeid three charact default forbiddencharsnnbug see namecheckpi extra charact identifi asnsecur risk secur teamnnchangeid reflect gholt commentsnnbug see namecheckpi testnamecheckpi changesn cleanedup logicn licens headern chang method name consistentn remov print statement initn made error messag informativen chang unit testsnnchangeid warningsnnbug fix namecheckpi testnamecheckpynnchangeid 
3632,remov admin apinnchangeid 
4963,add user password strength check use cracklibnnchangeid 
4964,modifi puppet repo work stackforgennadd stackforg manifest point puppetininremov gerritinstal lib work puppet masternmak jenkinsmast modul genericnhav ssh key differ jenkinsslav setupsnnchangeid 
3633,lockfilefilelock alreadi append locknnotherwis end file like novaiptableslocklocknnchangeid 
4965,add nexenta volum driver docsnn rebas masternnchangeid 
3634,fix log log correct filenam line numbersnnfix bug 
4966,fix incorrect use instanc keyword loggingnnfix bug 
3635,window goe low wide without breakingnnchangeid 
2309,fix 
4967,longer ignor mannovamanagennfix bug manpag includednnchangeid 
2308,refactor vmstate taskstat checkingnnthi branch refactor recent merg code check vmstate andntaskst list allow state merg method beingncheck method check clean gener usagenof easier readnnchangeid 
3636,simplifi method name self explanatorynnchangeid 
4968,avoid run code use log threadnnfix bug avoid problem code use log run threadnwhich necessari unit test anywaynnchangeid 
3637,dri volumecomput apiroutersnnfix bug 
2307,add name view send user appropri home pagennfix bug 
4980,docsinstal clarif regard tenantidnnfix bug 
4981,minor typogrammar fix bug 
3650,fix rootwrap killfilt matchingnncheck kill command firstnnchangeid 
4982,updat author file remov duplic entriesnmultipl email per person map mailmap filenfix bug primari email assum last one use commitnnchangeid 
3651,renam inst createimag pass instanc log msgsnnthi renam inst createimag consist nameninst also pass instanc log messag thisnmethod remov instanc name translat textnfor correspond log messagesnnchangeid 
2320,renam venv withvenvsh filennchangeid 
3649,fix admin password skip checknnskip admin password configur onli agent isnempti previous werenrequir setnna tabl primarili use upgradesnther requir record exist ordernto configur admin passwordsnnfix bug 
2317,switch version common nova versioningnnus version pythonnovacli align withnnova common version start pythonnovaclientni ship nova project deliver fix bug 
2316,blueprint refactorreadmetomanualnnremov content readm avoid becom outdatednand stale given current maintain doc onnhttpdocsopenstackorg case includ keyston confignextens write etc thi mean text readm beingntransf directli readm extern doc makensur lose anythingnnchangeid 
1,add puppet modul ssh instal sshdconfig onli allow login via keysn 
2315,live migrat server actionsnnchangeid 
2,basic doc skeletonn 
2314,hide unus action instanc activ statennchangeid 
3,need two levelsn 
2313,restor instanc detail instanc index detail pagesnnfix bug 
4,add gerrit devprod server jenkin slave knownhostsnnchangeid 
2312,fix issu white space reviewncod review chang fix 
5,fix problem jenkin knownhost urlnnchangeid 
2311,blueprint improv dashboard uxnnbug user submit form hit submit button applic wide behaviour button provid visual confrim submiss disab though remov primari classnnchangeid 
6,support copi key launch hostnnchangeid 
7,ssh key gpg key copyingn 
2310,blueprint improv dashboard uxnbug user submit form hit submit button applic wide behaviour button provid visual confrim submiss disab though remov primari classnnchangeid 
8,move key puppet dir easi installnnchangeid 
4972,improv error messag nova shellnnoutput error rather 
3641,updat version 
4973,remov old stat toolsnnhttpsblueprintslaunchpadnetswiftspecremoveoldswiftstatstoolsnnchangeid 
9,manifest openstackci test slavennchangeid 
3642,updat 
4974,distinguish rootwrap author found errorsnnrootwrap return author commandnthat defin rootwrap filter notninstal system therefor return firstnmatch filter command sudo willntri execut return appropri errornnchangeid 
3643,add pom markdown file directori autom worknnchangeid 
